"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"CYB5R3",-0.440832428939698,0.0973065464814011,0.0898588911027297,0.998419475690512,"Not Significant"
"CKAP4",0.530899361453552,0.0983230256006923,-0.0445575269230569,0.998419475690512,"Not Significant"
"EIF3J",-0.398269317625827,0.0983230256006923,0.0815048499879207,0.998419475690512,"Not Significant"
"LILRB4",0.764648717449799,0.0983230256006923,-0.162714113490508,0.998419475690512,"Not Significant"
"FUT11",-0.441458563215607,0.100404217390702,0.0326810981937828,0.998419475690512,"Not Significant"
"MORF4L2",-0.459306830409883,0.101266894946533,0.211851181975338,0.998419475690512,"Not Significant"
"ADAM19",0.660899464315152,0.101620392276597,-0.00497822653056869,0.998419475690512,"Not Significant"
"YBX1",-0.556479951905417,0.102137644115359,0.488403069685485,0.809010563895537,"Not Significant"
"PDIA4",-0.498078790974807,0.103486291117993,0.12466148765323,0.994306542239506,"Not Significant"
"AIMP1",-0.467023627196124,0.103591338772255,0.141793447805273,0.958007806671595,"Not Significant"
"EXOSC5",-0.972552285498911,0.103677162426806,0.215925319897925,0.861619201789483,"Not Significant"
"MTHFD1",-0.653860461541125,0.103852192191179,0.342312827030898,0.998419475690512,"Not Significant"
"SNU13",-0.511090144607205,0.104512697908741,0.0629640827006187,0.998419475690512,"Not Significant"
"ICAM4",1.12631544506125,0.104838369636233,-0.00371634125552513,0.998419475690512,"Not Significant"
"YME1L1",0.369444175805188,0.105643794315513,-0.0438785892112794,0.998419475690512,"Not Significant"
"VAT1",-0.639959928730267,0.106282084862656,0.333968827186234,0.998419475690512,"Not Significant"
"PLEKHF2",0.51797569230922,0.106282084862656,-0.214747927616791,0.998419475690512,"Not Significant"
"DYNC1LI1",0.337362849490964,0.10666260761023,-0.155546945525895,0.998419475690512,"Not Significant"
"OXSM",-0.806904182525316,0.10666260761023,0.457814559948131,0.327559834846293,"Not Significant"
"RAB4A",-0.716429700912868,0.106949412285008,0.089060617114421,0.790827704016838,"Not Significant"
"HMGB2",0.563863856522911,0.107165048388569,-0.0566078405489002,0.998419475690512,"Not Significant"
"ZSWIM7",-0.559684144621119,0.108281719418625,0.00214510553693344,0.998419475690512,"Not Significant"
"RHOC",0.566996585094673,0.108445541826651,-0.0429660431660154,0.998419475690512,"Not Significant"
"RCN1",-0.565813506674899,0.112757856464002,0.0348690375638836,0.998419475690512,"Not Significant"
"RPL5",-0.397140343776129,0.113176056387455,0.644789371561567,0.589149021023413,"Not Significant"
"ADGRE5",0.483951219515853,0.11342770208091,-0.0259520185712293,0.998419475690512,"Not Significant"
"HSPG2",-0.886583363841971,0.113527130743787,0.227934733594436,0.721802398933348,"Not Significant"
"LYZ",-0.591370148311533,0.11485647030622,0.362416745635308,0.998419475690512,"Not Significant"
"ARL8A",0.360805556217662,0.115947084118593,-0.0270614351442719,0.998419475690512,"Not Significant"
"MTMR6",0.456468889662174,0.115947084118593,-0.347804665735596,0.882966594834703,"Not Significant"
"PSIP1",-0.519738395456781,0.116293089389256,0.236082549114386,0.998419475690512,"Not Significant"
"TANK",0.540888339761498,0.116763154146652,-0.0302128900240678,0.998419475690512,"Not Significant"
"THRA",-0.605378221426647,0.11732110998364,0.00501752044491763,0.998419475690512,"Not Significant"
"DHRS4",-0.736542922801991,0.117732925160374,0.122252318570518,0.990090615049715,"Not Significant"
"KIF16B",-0.622309282340892,0.119091219514966,0.0765119241545305,0.998419475690512,"Not Significant"
