"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P119","Aureobasidium pullulans",5580,1,5579,"","eukaryota",8,0.092237391,NA,NA,100,101.75,2,0.023059348,NA,NA,100,1.51942376715028,0.0111147805170479,0.0459611194353601
"P119","Kingella kingae",504,1,32257,"","bacteria",5,0.057648369,NA,NA,97.32,140.2,5,0.057648369,NA,NA,99.6,0.793013807392545,0.00784283993622214,0.0333320697289441
"P119","Micrococcus luteus",1270,1,1269,"","bacteria",24,0.276712173,1,4,96.8412,139.875,10,0.115296739,1,4,97.1,332.142128602712,0.922438086351337,0.994240793132856
"P119","Zymomonas mobilis",542,1,541,"","bacteria",10,0.115296739,NA,NA,99.36,76.8,0,0,NA,NA,0,4.17234539243164,0.0956222208307273,0.345595270561447
"P119","Serinicoccus sp. JLT9",1758689,1,265976,"","bacteria",6,0.069178043,NA,NA,93.4053,141.667,2,0.023059348,NA,NA,79.4,26.4194454405874,0.763823688822831,0.994240793132856
"P119","Cryptococcus neoformans",5207,1,5206,"","eukaryota",40,0.461186955,1,38,86.2119,301.55,0,0,NA,NA,0,4.34485381860748,0.000242061929821405,0.00113373903865331
"P119","Pseudonocardia sp. AL041005-10",445576,1,1847,"","bacteria",7,0.080707717,NA,NA,91.9429,81.1429,0,0,NA,NA,0,200.74392115084,0.957441037101066,0.994240793132856
"P119","Alkalilimnicola ehrlichii",351052,1,133193,"","bacteria",14,0.161415434,1,14,94.979,239,0,0,NA,NA,0,8.13491190706735,0.176652984368722,0.591851969527325
"P119","Ethanoligenens harbinense",253239,1,253238,"","bacteria",6,0.069178043,NA,NA,91.9,77.3333,0,0,NA,NA,0,7.6829545058486,0.421475689101403,0.994240793132856
"P119","Neurospora crassa",5141,1,5140,"","eukaryota",5,0.057648369,NA,NA,99.7,87.2,0,0,NA,NA,0,0.648915854749677,0.00392272992128641,0.0168274115314996
"P119","Paeniclostridium sordellii",1505,1,1849828,"","bacteria",16,0.184474782,NA,NA,95.1375,90.6875,0,0,NA,NA,0,102.556883165379,0.840998559807253,0.994240793132856
"P119","Pandoraea pnomenusa",93220,1,93217,"","bacteria",12,0.138356087,NA,NA,96.8667,114.333,4,0.046118696,NA,NA,100,166.294900491653,0.919808845494652,0.994240793132856
"P119","Agrobacterium tumefaciens",358,1,357,"","bacteria",7,0.080707717,NA,NA,87.2694,108,2,0.023059348,NA,NA,100,220.178156315655,0.961005026654652,0.994240793132856
"P119","Renibacterium salmoninarum",1646,1,1645,"","bacteria",6,0.069178043,NA,NA,99.8833,126.333,0,0,NA,NA,0,30.5192156986775,0.79083564910042,0.994240793132856
"P119","Rothia mucilaginosa",43675,1,32207,"","bacteria",5,0.057648369,NA,NA,98.7,84.4,0,0,NA,NA,0,102.038458728589,0.93873723510648,0.994240793132856
"P119","Curvibacter sp. AEP1-3",1844971,1,281915,"","bacteria",6,0.069178043,NA,NA,88.9473,110,0,0,NA,NA,0,88.9510105704961,0.91958006565438,0.994240793132856
"P119","Hydrogenophaga crassostreae",1763535,1,47420,"","bacteria",6,0.069178043,NA,NA,94.8667,82.3333,0,0,NA,NA,0,43.1219991486844,0.845013068464156,0.994240793132856
"P119","Hydrogenophaga sp. PBC",795665,1,47420,"","bacteria",7,0.080707717,NA,NA,92.614,148.714,0,0,NA,NA,0,245.609370165394,0.964844765913921,0.994240793132856
"P119","Castellaniella defragrans",75697,1,359336,"","bacteria",5,0.057648369,NA,NA,88.48,102,1,0.011529674,NA,NA,87.8,123.17541425708,0.948648444390933,0.994240793132856
"P119","Aminobacter aminovorans",83263,1,31988,"","bacteria",9,0.103767065,NA,NA,90.7102,105.778,2,0.023059348,NA,NA,88.6,149.363445708066,0.930647063547783,0.994240793132856
"P119","Roseateles depolymerans",76731,1,93681,"","bacteria",20,0.230593478,NA,NA,93.9489,134.85,32,0.368949564,NA,NA,93.0797,938.417247212386,0.975360092662912,0.994240793132856
"P119","Methylibium petroleiphilum",105560,1,316612,"","bacteria",17,0.196004456,NA,NA,92.6412,135.882,0,0,NA,NA,0,406.694768527366,0.95289298089303,0.994240793132856
"P119","Rhodoferax ferrireducens",192843,1,28065,"","bacteria",6,0.069178043,NA,NA,95.0167,88.8333,0,0,NA,NA,0,78.1088123929459,0.909339403473337,0.994240793132856
